Date,Value
1984-11-30,971242016388.914
1984-12-31,996548920444.9968
1985-01-31,999495319861.6431
1985-02-28,1012136793691.37
1985-03-31,1027606893347.13
1985-04-30,1034382033228.42
1985-05-31,1047128296245.5
1985-06-30,1057171622129.41
1985-07-31,1075436461374.15
1985-08-31,1089656902025.4
1985-09-30,1102789827347.3398
1985-10-31,1116129638588.12
1985-11-30,1129342555144.38
1985-12-31,1141041849947.12
1986-01-31,1167699198055.82
1986-02-28,1178814066428.67
1986-03-31,1191542774413.07
1986-04-30,1208070368912.43
1986-05-31,1226570590196.44
1986-06-30,1243429457662.51
1986-07-31,1258023188395.88
1986-08-31,1272726367703.55
1986-09-30,1295444445992.55
1986-10-31,1305982557530.16
1986-11-30,1329534920437.55
1986-12-31,1351750903989.2
1987-01-31,1379923071248.94
1987-02-28,1394116094707.88
1987-03-31,1413649318157.99
1987-04-30,1427792560612.02
1987-05-31,1438908041749.18
1987-06-30,1456625055217.8
1987-07-31,1481764909251.1
1987-08-31,1501788954030.86
1987-09-30,1527188325916.45
1987-10-31,1543966214281.58
1987-11-30,1561389632329.21
1987-12-31,1581062580829.9602
1988-01-31,1604830427533.86
1988-02-29,1622109549381.4
1988-03-31,1640517169185.33
1988-04-30,1658408840123.75
1988-05-31,1684626344196.27
1988-06-30,1670158119314.13
1988-07-31,1754473177142.37
1988-08-31,1765908992626.25
1988-09-30,1778759558491.66
1988-10-31,1798402886144.54
1988-11-30,1826348856956.8896
1988-12-31,1909051157529.12
1989-01-31,1886761635023.4297
1989-02-28,1900714125821.87
1989-03-31,1934276491147.5293
1989-04-30,1968561711887.96
1989-05-31,1996389678003.18
1989-06-30,2030091503739.1497
1989-07-31,2053832312207.87
1989-08-31,2090477625433.48
1989-09-30,2118581415307.37
1989-10-31,2163222832808.5093
1989-11-30,2188565027644.75
1989-12-31,2222773994537.6904
1990-01-31,2246861704095.9004
1990-02-28,2280806960451.64
1990-03-31,2311128504344.79
1990-04-30,2359952004377.45
1990-05-31,2369165892911.32
1990-06-30,2395413366572.4297
1990-07-31,2420037999330.79
1990-08-31,2436884539325.5903
1990-09-30,2475666000952.04
1990-10-31,2499544633232.35
1990-11-30,2537564882947.5
1990-12-31,2565772192888.56
1991-01-31,2588847056428.88
1991-02-28,2637660862350.68
1991-03-31,2663002718148.52
1991-04-30,2698839011284.89
1991-05-31,2747696630352.27
1991-06-30,2763460658543.31
1991-07-31,2789025678687.74
1991-08-31,2830318792434.77
1991-09-30,2872039475504.4497
1991-10-31,2936936274627.7295
1991-11-30,3008044599952.68
1991-12-31,3043549009591.18
1992-01-31,3092380689477.94
1992-02-29,3142929080561.8
1992-03-31,3177635386634.52
1992-04-30,3210182380673.03
1992-05-31,3277298691539.88
1992-06-30,3319911645231.4
1992-07-31,3371526022017.47
1992-08-31,3401262634218.4697
1992-09-30,3413784041449.57
1992-10-31,3481127290175.47
1992-11-30,3507184200650.72
1992-12-31,3528138549080.14
1993-01-31,3569548960315.47
1993-02-28,3595738796848.29
1993-03-31,3647768431495.74
1993-04-30,3744765434288.18
1993-05-31,3768547483520.58
1993-06-30,3795729438233.8096
1993-07-31,3847573537316.8
1993-08-31,3904452278221.6304
1993-09-30,3930676454275.48
1993-10-31,3970827356789.871
1993-11-30,4043161653896.2
1993-12-31,4117188063296.7295
1994-01-31,4196737636789.6206
1994-02-28,4267761843111.871
1994-03-31,4315732685725.5503
1994-04-30,4409976971210.279
1994-05-31,4460546012062.721
1994-06-30,4515776086175.819
1994-07-31,4604956298378.24
1994-08-31,4636604772923.9795
1994-09-30,4763111663546.0205
1994-10-31,4848102561420.5
1994-11-30,4901805343229.15
1994-12-31,4956236026838.352
1995-01-31,4981027544399.591
1995-02-28,5048879875726.859
1995-03-31,5275347727316.72
1995-04-30,5174684199966.08
1995-05-31,5240594059926.5
1995-06-30,5289284204675.16
1995-07-31,5339129578156.7295
1995-08-31,5415328999829.29
1995-09-30,5501294123291.25
1995-10-31,5574605304170.75
1995-11-30,5605170804545.33
1995-12-31,5677684720342.81
1996-01-31,5750672064667.7
1996-02-29,5816434609200.44
1996-03-31,5983431818169.271
1996-04-30,6005369578582.48
1996-05-31,6046294322138.409
1996-06-30,6157054147653.38
1996-07-31,6223949463024.91
1996-08-31,6290049357061.21
1996-09-30,6372312846019.812
1996-10-31,6409117652633.0
1996-11-30,6511997153455.352
1996-12-31,6599050501212.32
1997-01-31,6744925316298.52
1997-02-28,6823015634769.03
1997-03-31,6947216393110.2
1997-04-30,6985629962787.67
1997-05-31,7090317785145.42
1997-06-30,7195084552958.939
1997-07-31,7267261062217.2705
1997-08-31,7323973504137.85
1997-09-30,7428663366223.632
1997-10-31,7524954907015.939
1997-11-30,7663527635630.04
1997-12-31,7755840201810.131
1998-01-31,7842996077588.301
1998-02-28,7980040114834.659
1998-03-31,8201993850288.15
1998-04-30,8259131385841.078
1998-05-31,8380403406802.719
1998-06-30,8482765223614.642
1998-07-31,8640367526181.81
1998-08-31,8869730589299.049
1998-09-30,9001560539862.81
1998-10-31,9151209142578.91
1998-11-30,9219898354096.09
1998-12-31,9314009071757.6
1999-01-31,9470264944983.049
1999-02-28,9585304857405.54
1999-03-31,9809591347940.43
1999-04-30,9816314195413.96
1999-05-31,9952184235499.5
1999-06-30,10031485101765.9
1999-07-31,10237874767365.9
1999-08-31,10350816240312.2
1999-09-30,10505256019315.1
1999-10-31,10629836999276.4
1999-11-30,10727453245363.3
1999-12-31,11033523147776.8
2000-01-31,11022491575315.4
2000-02-29,11192559989954.5
2000-03-31,11254909572278.9
2000-04-30,11401760127288.1
2000-05-31,11506479343980.0
2000-06-30,11683525678711.1
2000-07-31,11779386763397.1
2000-08-31,11884375314169.4
2000-09-30,12050130648168.8
2000-10-31,12244842455483.9
2000-11-30,12565739605462.7
2000-12-31,12805273484735.9
2001-01-31,12859647045157.3
2001-02-28,12996734312498.0
2001-03-31,13153322499695.9
2001-04-30,13337047259930.6
2001-05-31,13568015955078.9
2001-06-30,13733304242246.2
2001-07-31,13870672418057.1
2001-08-31,14006906272913.4
2001-09-30,14117356902288.8
2001-10-31,14230938082949.6
2001-11-30,14441344055481.0
2001-12-31,14598007366851.7
2002-01-31,14695061787171.6
2002-02-28,14841183736724.5
2002-03-31,14996558254575.0
2002-04-30,15215097144420.4
2002-05-31,15902782703289.4
2002-06-30,15968864934103.2
2002-07-31,16136207347446.9
2002-08-31,16324742842296.2
2002-09-30,16459600363847.5
2002-10-31,16622661832869.3
2002-11-30,16810987804302.6
2002-12-31,16933314450596.5
2003-01-31,17075952581380.0
2003-02-28,17175408776159.398
2003-03-31,17163520801788.4
2003-04-30,17443291247447.6
2003-05-31,17686357747246.5
2003-06-30,17903837161509.4
2003-07-31,18073442017583.6
2003-08-31,18201439838216.8
2003-09-30,18370431493433.703
2003-10-31,18693747838572.4
2003-11-30,18854210953043.5
2003-12-31,19108940937707.2
2004-01-31,19391112613334.6
2004-02-29,19695782499388.6
2004-03-31,19990387356169.203
2004-04-30,20256707582439.8
2004-05-31,20391326815500.5
2004-06-30,20527192171001.3
2004-07-31,20642975322920.2
2004-08-31,20842384588142.0
2004-09-30,20930554910543.0
2004-10-31,21191706872737.6
2004-11-30,21331365494671.895
2004-12-31,21639380205478.4
2005-01-31,22255464625038.6
2005-02-28,22240274429127.1
2005-03-31,22327260333995.4
2005-04-30,22938537913141.0
2005-05-31,23119425516523.4
2005-06-30,23385430669807.3
2005-07-31,23613742049543.8
2005-08-31,23872931278087.1
2005-09-30,24704715914416.2
2005-10-31,24788172079254.695
2005-11-30,25059417179033.297
2005-12-31,25417947389353.6
2006-01-31,25433711652434.1
2006-02-28,25755813742167.4
2006-03-31,26988208203017.3
2006-04-30,27196423994830.1
2006-05-31,27493399523487.1
2006-06-30,27691506988957.895
2006-07-31,28302230800423.895
2006-08-31,28889997890737.6
2006-09-30,29405013893710.6
2006-10-31,29471092575451.8
2006-11-30,30028306911401.703
2006-12-31,30407121340196.0
2007-01-31,30898773877976.4
2007-02-28,31454609341200.2
2007-03-31,32801614259855.4
2007-04-30,32572571800108.8
2007-05-31,32958978434890.8
2007-06-30,33792265889510.496
2007-07-31,34565617945037.3
2007-08-31,34923494192543.4
2007-09-30,35847238114963.195
2007-10-31,36278316454959.2
2007-11-30,37058460488424.7
2007-12-31,37501817939986.8
2008-01-31,38291142220211.914
2008-02-29,38884940485486.7
2008-03-31,39797695353738.086
2008-04-30,39806955680120.086
2008-05-31,40623726064412.7
2008-06-30,41082401290248.8
2008-07-31,41427941081901.0
2008-08-31,42370431700859.0
2008-09-30,42891398571848.8
2008-10-31,43715847493357.1
2008-11-30,44187812406801.0
2008-12-31,44957651478156.8
2009-01-31,46017277039870.7
2009-02-28,46722529834265.0
2009-03-31,47511973199334.7
2009-04-30,48361916584213.2
2009-05-31,49098973152544.0
2009-06-30,49609022328059.4
2009-07-31,50344230451790.8
2009-08-31,50781832271646.8
2009-09-30,51383575725709.2
2009-10-31,51960533532977.516
2009-11-30,52660403283105.4
2009-12-31,52991658117505.695
2010-01-31,53982229067332.2
2010-02-28,54696047015300.4
2010-03-31,55591635737915.1
2010-04-30,55737257187882.305
2010-05-31,56542941734571.41
2010-06-30,57114278536229.3
2010-07-31,58200567161085.695
2010-08-31,58689960108555.0
2010-09-30,59313342766141.086
2010-10-31,60948055386212.8
2010-11-30,61269948703242.914
2010-12-31,62761968314193.516
2011-01-31,62888158974143.914
2011-02-28,63861810998824.086
2011-03-31,64654238499047.516
2011-04-30,65611979407453.2
2011-05-31,66167887251197.59
2011-06-30,66941396351946.4
2011-07-31,67872620704596.914
2011-08-31,68673967799289.89
2011-09-30,69268994856129.086
2011-10-31,70008747903741.4
2011-11-30,70674876892024.3
2011-12-31,72609844697117.89
2012-01-31,72145138279190.2
2012-02-29,72829171564744.78
2012-03-31,73297697795824.97
2012-04-30,74262962652191.3
2012-05-31,75089834866729.9
2012-06-30,77317989244423.12
2012-07-31,77180016850137.61
2012-08-31,78184191116136.78
2012-09-30,78577650724944.89
2012-10-31,79199579187243.12
2012-11-30,80057681310758.1
2012-12-31,80692471349283.61
2013-01-31,81550714393754.0
2013-02-28,82077831017230.5
2013-03-31,83638066875810.89
2013-04-30,83834345428117.8
2013-05-31,85740421581726.2
2013-06-30,87189479554005.5
2013-07-31,87109056062352.7
2013-08-31,87724039767123.39
2013-09-30,89022258954077.58
2013-10-31,89686412562428.4
2013-11-30,91696472460874.2
2013-12-31,92452322070231.12
2014-01-31,93360217033695.81
2014-02-28,94010011702282.0
2014-03-31,94489592247323.6
2014-04-30,95769780666375.12
2014-05-31,96409446040677.28
2014-06-30,97138891979564.08
2014-07-31,98194147972179.6
2014-08-31,99215713432845.6
2014-09-30,99985428550857.8
2014-10-31,101326997682881.0
2014-11-30,102355118181743.0
2014-12-31,102963867396926.0
2015-01-31,103853618461412.0
2015-02-28,104528742491043.0
2015-03-31,105734071521936.0
2015-04-30,106250628087957.0
2015-05-31,107380527975896.0
2015-06-30,108994605835558.0
2015-07-31,109203569098713.0
2015-08-31,110379628506298.0
2015-09-30,111006871832826.0
2015-10-31,111677250304040.0
2015-11-30,112794822151551.0
2015-12-31,113963267978682.0
2016-01-31,114945544378944.0
2016-02-29,116151283222961.0
2016-03-31,116338193745385.0
2016-04-30,118599380484073.0
2016-05-31,118288596427388.0
2016-06-30,118609578590814.0
2016-07-31,120343621069027.0
2016-08-31,121644562721401.0
2016-09-30,123094748723676.0
