observation_date,MABMM301INM189S
1981-03-01,555207413057.228027
1981-04-01,562328392811.984009
1981-05-01,570184446397.739990
1981-06-01,577389913767.697998
1981-07-01,587829853448.131958
1981-08-01,587797257662.098022
1981-09-01,595764448710.625977
1981-10-01,606464233230.854004
1981-11-01,607055773834.595093
1981-12-01,614849185257.368042
1982-01-01,616725115855.423950
1982-02-01,623248466194.012085
1982-03-01,625487821342.847900
1982-04-01,637272614736.520996
1982-05-01,644940287501.215088
1982-06-01,653701383935.028931
1982-07-01,659817843019.596069
1982-08-01,672445599371.268921
1982-09-01,680258367014.566040
1982-10-01,687034855482.679932
1982-11-01,697185239893.158936
1982-12-01,721088953812.124023
1983-01-01,714875842644.239990
1983-02-01,722520320585.200928
1983-03-01,730347965568.008911
1983-04-01,743583997757.217896
1983-05-01,754591335949.595947
1983-06-01,765549733658.403809
1983-07-01,779738238094.828979
1983-08-01,788925135931.494141
1983-09-01,798034675200.312012
1983-10-01,811513497824.382935
1983-11-01,821846937012.020996
1983-12-01,843304987953.148926
1984-01-01,843346918300.388916
1984-02-01,854264041236.136963
1984-03-01,863777609868.883057
1984-04-01,876311600579.683960
1984-05-01,890972997766.774048
1984-06-01,916309072119.555054
1984-07-01,916018909916.303101
1984-08-01,929069047922.647095
1984-09-01,941248382797.190063
1984-10-01,957453062457.855957
1984-11-01,971242016388.913940
1984-12-01,996548920444.996948
1985-01-01,999495319861.643066
1985-02-01,1012136793691.369995
1985-03-01,1027606893347.130005
1985-04-01,1034382033228.420044
1985-05-01,1047128296245.500000
1985-06-01,1057171622129.410034
1985-07-01,1075436461374.150024
1985-08-01,1089656902025.400024
1985-09-01,1102789827347.339844
1985-10-01,1116129638588.120117
1985-11-01,1129342555144.379883
1985-12-01,1141041849947.120117
1986-01-01,1167699198055.820068
1986-02-01,1178814066428.669922
1986-03-01,1191542774413.070068
1986-04-01,1208070368912.429932
1986-05-01,1226570590196.439941
1986-06-01,1243429457662.510010
1986-07-01,1258023188395.879883
1986-08-01,1272726367703.550049
1986-09-01,1295444445992.550049
1986-10-01,1305982557530.159912
1986-11-01,1329534920437.550049
1986-12-01,1351750903989.199951
1987-01-01,1379923071248.939941
1987-02-01,1394116094707.879883
1987-03-01,1413649318157.989990
1987-04-01,1427792560612.020020
1987-05-01,1438908041749.179932
1987-06-01,1456625055217.800049
1987-07-01,1481764909251.100098
1987-08-01,1501788954030.860107
1987-09-01,1527188325916.449951
1987-10-01,1543966214281.580078
1987-11-01,1561389632329.209961
1987-12-01,1581062580829.960205
1988-01-01,1604830427533.860107
1988-02-01,1622109549381.399902
1988-03-01,1640517169185.330078
1988-04-01,1658408840123.750000
1988-05-01,1684626344196.270020
1988-06-01,1670158119314.129883
1988-07-01,1754473177142.370117
1988-08-01,1765908992626.250000
1988-09-01,1778759558491.660156
1988-10-01,1798402886144.540039
1988-11-01,1826348856956.889893
1988-12-01,1909051157529.120117
1989-01-01,1886761635023.429932
1989-02-01,1900714125821.870117
1989-03-01,1934276491147.529541
1989-04-01,1968561711887.959961
1989-05-01,1996389678003.179932
1989-06-01,2030091503739.149902
1989-07-01,2053832312207.870117
1989-08-01,2090477625433.479980
1989-09-01,2118581415307.370117
1989-10-01,2163222832808.509521
1989-11-01,2188565027644.750000
1989-12-01,2222773994537.690430
1990-01-01,2246861704095.900391
1990-02-01,2280806960451.640137
1990-03-01,2311128504344.790039
1990-04-01,2359952004377.450195
1990-05-01,2369165892911.319824
1990-06-01,2395413366572.429688
1990-07-01,2420037999330.790039
1990-08-01,2436884539325.590332
1990-09-01,2475666000952.040039
1990-10-01,2499544633232.350098
1990-11-01,2537564882947.500000
1990-12-01,2565772192888.560059
1991-01-01,2588847056428.879883
1991-02-01,2637660862350.680176
1991-03-01,2663002718148.520020
1991-04-01,2698839011284.890137
1991-05-01,2747696630352.270020
1991-06-01,2763460658543.310059
1991-07-01,2789025678687.739746
1991-08-01,2830318792434.770020
1991-09-01,2872039475504.449707
1991-10-01,2936936274627.729980
1991-11-01,3008044599952.680176
1991-12-01,3043549009591.180176
1992-01-01,3092380689477.939941
1992-02-01,3142929080561.800293
1992-03-01,3177635386634.520020
1992-04-01,3210182380673.029785
1992-05-01,3277298691539.879883
1992-06-01,3319911645231.399902
1992-07-01,3371526022017.470215
1992-08-01,3401262634218.469727
1992-09-01,3413784041449.569824
1992-10-01,3481127290175.470215
1992-11-01,3507184200650.719727
1992-12-01,3528138549080.140137
1993-01-01,3569548960315.470215
1993-02-01,3595738796848.290039
1993-03-01,3647768431495.740234
1993-04-01,3744765434288.180176
1993-05-01,3768547483520.580078
1993-06-01,3795729438233.809570
1993-07-01,3847573537316.799805
1993-08-01,3904452278221.630371
1993-09-01,3930676454275.479980
1993-10-01,3970827356789.870605
1993-11-01,4043161653896.200195
1993-12-01,4117188063296.730469
1994-01-01,4196737636789.620605
1994-02-01,4267761843111.870605
1994-03-01,4315732685725.550293
1994-04-01,4409976971210.279297
1994-05-01,4460546012062.720703
1994-06-01,4515776086175.819336
1994-07-01,4604956298378.240234
1994-08-01,4636604772923.979492
1994-09-01,4763111663546.020508
1994-10-01,4848102561420.500000
1994-11-01,4901805343229.150391
1994-12-01,4956236026838.350586
1995-01-01,4981027544399.590820
1995-02-01,5048879875726.859375
1995-03-01,5275347727316.719727
1995-04-01,5174684199966.080078
1995-05-01,5240594059926.500000
1995-06-01,5289284204675.160156
1995-07-01,5339129578156.729492
1995-08-01,5415328999829.290039
1995-09-01,5501294123291.250000
1995-10-01,5574605304170.750000
1995-11-01,5605170804545.330078
1995-12-01,5677684720342.809570
1996-01-01,5750672064667.700195
1996-02-01,5816434609200.439453
1996-03-01,5983431818169.270508
1996-04-01,6005369578582.480469
1996-05-01,6046294322138.409180
1996-06-01,6157054147653.379883
1996-07-01,6223949463024.910156
1996-08-01,6290049357061.209961
1996-09-01,6372312846019.811523
1996-10-01,6409117652633.000000
1996-11-01,6511997153455.350586
1996-12-01,6599050501212.320312
1997-01-01,6744925316298.519531
1997-02-01,6823015634769.030273
1997-03-01,6947216393110.200195
1997-04-01,6985629962787.669922
1997-05-01,7090317785145.419922
1997-06-01,7195084552958.939453
1997-07-01,7267261062217.270508
1997-08-01,7323973504137.849609
1997-09-01,7428663366223.630859
1997-10-01,7524954907015.939453
1997-11-01,7663527635630.040039
1997-12-01,7755840201810.129883
1998-01-01,7842996077588.300781
1998-02-01,7980040114834.659180
1998-03-01,8201993850288.150391
1998-04-01,8259131385841.078125
1998-05-01,8380403406802.719727
1998-06-01,8482765223614.641602
1998-07-01,8640367526181.809570
1998-08-01,8869730589299.048828
1998-09-01,9001560539862.810547
1998-10-01,9151209142578.910156
1998-11-01,9219898354096.089844
1998-12-01,9314009071757.599609
1999-01-01,9470264944983.048828
1999-02-01,9585304857405.539062
1999-03-01,9809591347940.429688
1999-04-01,9816314195413.960938
1999-05-01,9952184235499.500000
1999-06-01,10031485101765.900391
